comment,tokenized,sentiment_label
강바오님이 설명 해 주시니 더 친근하게 다가오는 거 같아요뽀미 사람이 보기에는 위험 해 보이지만 뽀미는 편안한 거 겠죠 레시 얼굴 좀 보여주지 대나무 먹느라 꼬리만 보여주네요 탐스런 꼬리 보여줘서 고마워 레시야강바오님 담에는 어떤 동물 소개 해 주실지 기대가 됩니다^^,"[101, 8853, 42144, 28188, 108578, 10739, 9429, 16758, 9960, 9689, 14040, 25503, 9074, 9781, 50248, 17594, 9056, 11287, 82823, 8863, 100, 97802, 9356, 33797, 11018, 9619, 86834, 9960, 9356, 44359, 19105, 100, 9924, 34951, 11102, 8863, 8876, 119217, 9186, 14040, 9551, 118654, 9682, 9356, 29935, 16323, 12508, 9069, 16439, 32537, 9266, 118760, 17342, 8954, 12692, 19105, 9356, 29935, 16323, 77884, 48549, 9849, 12605, 56710, 8954, 12692, 9356, 29935, 119221, 12424, 8888, 23811, 69592, 9186, 14040, 21711, 47181, 42144, 28188, 108578, 9064, 15303, 55910, 9095, 29364, 9448, 21789, 9960, 9689, 31503, 12508, 8932, 97048, 100, 167, 167, 102]",2
믿고 보는 강바오님 영상 강바오님 썸네일만 봐도 반가워요,"[101, 9312, 11664, 9356, 11018, 8853, 42144, 28188, 108578, 9574, 14871, 8853, 42144, 28188, 108578, 100, 9363, 12092, 9321, 11287, 69592, 48549, 102]",2
강하부지 동물 박사님 진짜 우리 강하부지는 말모 말모 최고,"[101, 8853, 35506, 14646, 12508, 9095, 29364, 9319, 12945, 108578, 9708, 119235, 9604, 12692, 8853, 35506, 14646, 32815, 9251, 39420, 9251, 39420, 83491, 102]",2
이웃과 사이 좋은 모습 좋은데요  전지적 옆집 시점도 너무 재밌어요^^,"[101, 9638, 119170, 11882, 9405, 10739, 79633, 9283, 119081, 79633, 28911, 48549, 9665, 12508, 14801, 9575, 38696, 9485, 34907, 12092, 9004, 32537, 100, 167, 167, 102]",2
전지적 옆집 시점도 언제나 기대돼요옆집 동물들에 대해서 소개해주시고 사육사님들과 이야기를 나눠주셔도 좋을 것 같아요,"[101, 9665, 12508, 14801, 9575, 38696, 9485, 34907, 12092, 9548, 17730, 16439, 8932, 14423, 118798, 48549, 119148, 38696, 9095, 29364, 27023, 10530, 33378, 12424, 9448, 21789, 14523, 87281, 11664, 9405, 83811, 12945, 108578, 72482, 110148, 11513, 8982, 118755, 16323, 119049, 12092, 9685, 10622, 8870, 8855, 16985, 48549, 102]",2
강바오님 팬이에요 이것두 나중에 풀영상으로 보고싶네요 순수한 동물들과 동물들을 사랑하는 강바오님의 만남은 완전 힐링,"[101, 8853, 42144, 28188, 108578, 9911, 10739, 10530, 48549, 9638, 118627, 118802, 8982, 81724, 9937, 30858, 82214, 98199, 119088, 77884, 48549, 9462, 15891, 11102, 9095, 29364, 72482, 9095, 29364, 25820, 9405, 62200, 12178, 8853, 42144, 28188, 108578, 10459, 9248, 37004, 10892, 9591, 16617, 10027, 80174, 102]",2
우리 강바오 목소리만 들어도 너무 편안해지고  🫶🫶🫶,"[101, 9604, 12692, 8853, 42144, 28188, 9284, 22333, 12692, 19105, 71568, 12092, 9004, 32537, 9924, 34951, 14523, 68833, 102]",2
뽀미가 강사육사님말에 반응하는게  되게 신기해요 ,"[101, 100, 8853, 12945, 83811, 12945, 108578, 89523, 10530, 9321, 119187, 12178, 14153, 9098, 14153, 9487, 12310, 14523, 48549, 102]",2
뽀미 할부지가 말씀하실때 안움직이고 가만듣고잇다가 말씀끝나니까 움직이는거 넘신기하네요,"[101, 100, 9955, 14646, 80795, 9251, 119106, 35506, 31503, 118832, 9521, 119169, 33077, 54355, 8843, 19105, 118814, 11664, 119191, 80244, 9251, 119106, 118709, 16439, 25503, 118671, 9608, 33077, 31728, 41521, 9008, 25387, 12310, 35506, 77884, 48549, 102]",2
뽀미 아주 예쁘게 생겼어요,"[101, 100, 9519, 16323, 9576, 119022, 14153, 9420, 118637, 12965, 48549, 102]",2
강바오 목소리가 편안하네요동물진심으로 사랑하는 모습을보니 멋지네요,"[101, 8853, 42144, 28188, 9284, 22333, 44130, 9924, 34951, 35506, 77884, 48549, 18778, 29364, 18623, 71013, 11467, 9405, 62200, 12178, 94684, 30005, 25503, 9270, 12508, 77884, 48549, 102]",2
전지적옆집시점좋아요 뽀미 부르니 뽀미둥절 레시는 대나무굴에서 얼굴을 안보여주네요 ,"[101, 9665, 12508, 14801, 119148, 38696, 14040, 34907, 119214, 16985, 48549, 100, 9365, 31401, 25503, 100, 9186, 14040, 11018, 9069, 16439, 32537, 118654, 11489, 9551, 118654, 10622, 9521, 30005, 29935, 16323, 77884, 48549, 102]",2
You know you have seen waaaaaaay too many FuBao videos when you can recognize this video narrator just by his voice Keep up the good work,"[101, 11065, 21852, 13028, 10529, 15652, 11471, 17394, 17394, 17394, 10157, 16683, 11299, 17056, 11274, 14875, 37655, 10841, 13028, 10944, 80673, 10531, 12078, 103592, 12820, 10155, 10226, 21264, 42384, 10741, 10105, 15198, 11424, 102]",2
i seriously just love watching grandpa kang interacting with other animals,"[101, 177, 75543, 12820, 16138, 84532, 13023, 11359, 15086, 51476, 64716, 10169, 10684, 22528, 102]",2
우아 푸바오 큰할부지다 ,"[101, 9604, 16985, 9935, 42144, 28188, 9835, 14843, 14646, 12508, 11903, 102]",2
뽀미 자세가 정말 멋지네 ,"[101, 100, 9651, 101880, 9670, 89523, 9270, 12508, 77884, 102]",2
강바오님은 모든 동물들의 영원한아빠인거같다,"[101, 8853, 42144, 28188, 108578, 10892, 25701, 9095, 29364, 25258, 9574, 14279, 11102, 16985, 119008, 12030, 41521, 118615, 11903, 102]",2
강바오님은 뿌빠 동물들의 할부지죠 ^^,"[101, 8853, 42144, 28188, 108578, 10892, 9399, 119008, 9095, 29364, 25258, 9955, 14646, 12508, 119217, 167, 167, 102]",2
 레시 결국 얼굴 한번 안 보여줬엌 레시 레몬이 2세도 얼른 보고 싶네요,"[101, 9186, 14040, 50342, 9551, 118654, 9954, 35465, 9521, 100, 9186, 14040, 9186, 118936, 10739, 123, 24982, 12092, 9551, 37819, 98199, 9495, 77884, 48549, 102]",2
더운데 잘놀구 있넹오라무탕헬시,"[101, 9074, 21614, 28911, 9654, 118744, 17196, 100, 102]",2
강바오님 정말 모든 동물들을 이뻐하시는구나 따뜻스윗,"[101, 8853, 42144, 28188, 108578, 9670, 89523, 25701, 9095, 29364, 25820, 9638, 119013, 35506, 14040, 11018, 17196, 16439, 9130, 118848, 12605, 119180, 102]",2
강바오님 동물친구들 보면  이뻐 이뻐 라고 말씀하시는게  항상 마음에  와닿고  감동을 받습니다  보고있으면 정말로  너무 이뻐 보이는 매직,"[101, 8853, 42144, 28188, 108578, 9095, 29364, 55358, 17196, 27023, 9356, 14867, 9638, 119013, 9638, 119013, 31613, 9251, 119106, 35506, 14040, 11018, 14153, 9959, 14871, 9246, 32158, 10530, 9590, 118777, 11664, 8848, 69448, 9322, 119081, 48345, 98199, 119192, 80046, 9670, 89523, 11261, 9004, 32537, 9638, 119013, 9356, 31728, 9258, 33077, 102]",2
뽀미팔근육 장난아니네요,"[101, 100, 9657, 33305, 16985, 25503, 77884, 48549, 102]",2
강바오님 목소리들으니 편안 ^^,"[101, 8853, 42144, 28188, 108578, 9284, 22333, 12692, 27023, 119185, 25503, 9924, 34951, 167, 167, 102]",2
뽀미 안녕 에버랜드가게되면 뽀미도 만나러가야겠네용  레시는 강할부지 아웃오브안중이네요 귀여운꼬랑지만 나와서 아숩 ,"[101, 100, 9521, 118741, 9559, 41605, 42771, 11287, 14153, 118800, 14867, 100, 9248, 16439, 30873, 11287, 21711, 118632, 77884, 24974, 9186, 14040, 11018, 8853, 14843, 14646, 12508, 9519, 119170, 28188, 52015, 34951, 41693, 10739, 77884, 48549, 8920, 29935, 21614, 118686, 62200, 28578, 8982, 12638, 12424, 100, 102]",2
전옆시 점점 너무 기대되구 사랑스런 동물 알려주셔서 감사해요,"[101, 9665, 119148, 14040, 9668, 34907, 9004, 32537, 8932, 14423, 118800, 17196, 9405, 62200, 12605, 56710, 9095, 29364, 9524, 26737, 16323, 119049, 12424, 8848, 12945, 14523, 48549, 102]",2
강바오님이  존경받을  수  밖에  없는  이유:모든  동물은  가족이다걍  말이  필요없습니다존경  그  이상의  어휘를  찾아  주세요,"[101, 8853, 42144, 28188, 108578, 10739, 9680, 31720, 118965, 10622, 9460, 9320, 10530, 40364, 9638, 42815, 131, 25701, 9095, 29364, 10892, 100, 9251, 10739, 9949, 48549, 119136, 119081, 48345, 79718, 31720, 8924, 80607, 9546, 119455, 11513, 9737, 16985, 9689, 24982, 48549, 102]",2
뽀미 팔 겁나 기네요  우왕,"[101, 100, 9904, 8869, 16439, 8932, 77884, 48549, 9604, 40991, 102]",2
강바오 그저 빛️,"[101, 8853, 42144, 28188, 8924, 48387, 100, 102]",2
강바오님이 다른동물 설명해 주시니까  다른 동물을 알아가는 흥미로움이 생기네요,"[101, 8853, 42144, 28188, 108578, 10739, 19709, 18778, 29364, 9429, 16758, 14523, 9689, 14040, 25503, 118671, 19709, 9095, 69047, 9524, 16985, 68828, 10021, 22458, 11261, 119169, 10739, 9420, 12310, 77884, 48549, 102]",2
강바오님 목소리만들어두 마음이편해집니다,"[101, 8853, 42144, 28188, 108578, 9284, 22333, 12692, 19105, 93200, 118802, 9246, 32158, 10739, 50450, 14523, 38696, 48345, 102]",2
강바오님 중계최고️️,"[101, 8853, 42144, 28188, 108578, 100, 102]",2
마실 나온 할부지,"[101, 9246, 31503, 8982, 37093, 9955, 14646, 12508, 102]",2
레시 너무 귀염레몬이랑 아직도 진행중이라던데 좋은 소식 기대합니다,"[101, 9186, 14040, 9004, 32537, 8920, 119144, 56645, 118936, 10739, 62200, 9519, 33077, 12092, 9708, 25549, 41693, 10739, 17342, 23990, 28911, 79633, 9448, 21155, 8932, 14423, 33188, 48345, 102]",2
하부지the love,"[101, 9952, 14646, 12508, 26900, 16138, 102]",2
강바오 님이  동물원  곳곳에  있는  친구들  소개시켜주시는거  너무 좋아요   강바오님의  와우 wow 감탄사  넘  듣기 좋다는,"[101, 8853, 42144, 28188, 9053, 10739, 9095, 29364, 14279, 8895, 118644, 10530, 13767, 9781, 17196, 27023, 9448, 21789, 14040, 100110, 87281, 11018, 41521, 9004, 32537, 9685, 16985, 48549, 8853, 42144, 28188, 108578, 10459, 9590, 27355, 12796, 10874, 8848, 66554, 12945, 9008, 9116, 12310, 9685, 82034, 102]",2
푸바오네 강할부지  목소리가 정겹네요 요즘 푸바오 보는 맛에 살고 있어요목소리만 들어도 좋네요,"[101, 9935, 42144, 28188, 77884, 8853, 14843, 14646, 12508, 9284, 22333, 44130, 9670, 118636, 77884, 48549, 9599, 119229, 9935, 42144, 28188, 9356, 11018, 9254, 10530, 9408, 11664, 45893, 48549, 68055, 22333, 12692, 19105, 71568, 12092, 9685, 77884, 48549, 102]",2
높이가 아찔하네요  귀여워요 ,"[101, 9028, 57362, 9519, 119247, 35506, 77884, 48549, 8920, 29935, 69592, 48549, 102]",2
결국 귀요미 레시는 얼굴 안보여준 ,"[101, 50342, 8920, 48549, 22458, 9186, 14040, 11018, 9551, 118654, 9521, 30005, 29935, 54867, 102]",2
 동물 한 바퀴  세계관 확장 좋아요 오늘 건 파이럿이죠  정규편성 ,"[101, 9095, 29364, 9954, 9318, 119322, 32613, 20595, 9994, 13890, 9685, 16985, 48549, 9580, 118762, 8865, 9901, 10739, 118868, 10739, 119217, 9670, 69753, 50450, 17138, 102]",2
강바오님  늘 응원합니다  아이바오보면  시집가기 싫어오  ,"[101, 8853, 42144, 28188, 108578, 9044, 9636, 14279, 33188, 48345, 9519, 10739, 42144, 28188, 30005, 14867, 9485, 38696, 11287, 12310, 9490, 12965, 28188, 102]",2
뽀미의 갈라쇼 레시의 동굴쇼 강바오님의 휘파람쇼 ++,"[101, 100, 8847, 17342, 119060, 9186, 14040, 10459, 9095, 118654, 119060, 8853, 42144, 28188, 108578, 10459, 10010, 46150, 61250, 119060, 116, 116, 102]",2
강바오님 나오신건 다 보고 싶어유,"[101, 8853, 42144, 28188, 108578, 8982, 28188, 25387, 71439, 9056, 98199, 9495, 12965, 42815, 102]",2
강바오님 썸네일 최고 완전 멋지세요 역시,"[101, 8853, 42144, 28188, 108578, 100, 83491, 9591, 16617, 9270, 12508, 24982, 48549, 58466, 102]",2
사육사님 티비 많이 나와주셔요,"[101, 9405, 83811, 12945, 108578, 9895, 29455, 47058, 8982, 12638, 16323, 119049, 48549, 102]",2
설명해주시니 더 재밋습니다^^,"[101, 9429, 16758, 14523, 87281, 25503, 9074, 9659, 118959, 119081, 48345, 167, 167, 102]",2
강바오님 덕분에 뿌빠에 빠졌다고해도 과언이 아님🫶,"[101, 8853, 42144, 28188, 108578, 9075, 110355, 9399, 119008, 10530, 9388, 32855, 11664, 14523, 12092, 8898, 48036, 10739, 9519, 108578, 102]",2
우아 뽀미가 진짜 인사도하나요,"[101, 9604, 16985, 100, 9708, 119235, 9640, 12945, 12092, 35506, 16439, 48549, 102]",2
말고 다른 동물들도 잘 아시네요 ,"[101, 9251, 11664, 19709, 9095, 29364, 27023, 12092, 9654, 9519, 14040, 77884, 48549, 102]",2
바오 할아버지 푸바오 말고 몇 마리나 키우세요 너도 다른 동물들 때문에 바빠 보여 하하 하지만 건강 잘 챙기고 건강해 ️️️,"[101, 9318, 28188, 9955, 16985, 41605, 12508, 9935, 42144, 28188, 9251, 11664, 9282, 9246, 12692, 16439, 9838, 27355, 24982, 48549, 9004, 12092, 19709, 9095, 29364, 27023, 20729, 9318, 119008, 9356, 29935, 9952, 35506, 32775, 8865, 47181, 9654, 9743, 12310, 11664, 8865, 47181, 14523, 100, 102]",2
천재 뿌빠님 강바오의 동물 한바퀴에 이마를 탁 치고 갑니다 너무 기가막힌 썸네일이네여 푸바오 할아버지가 소개해주시니 너무 색다르고 신기해요 오랑우탄 친구들도 단독 생활을 하는 친구들인가용 판다월드 옆집에 사는 황금원숭이들은 여러마리들이 모여살고 있었던 것 같아서 문득 궁금하네용 강바오님이 소개해주시니까 괜히 학구적으로 더 집중해서 보게되네용 +_+,"[101, 9746, 36210, 9399, 119008, 108578, 8853, 42144, 28188, 10459, 9095, 29364, 9954, 42144, 119322, 10530, 9638, 23811, 11513, 9846, 9779, 11664, 8849, 48345, 9004, 32537, 8932, 11287, 118907, 119469, 100, 9935, 42144, 28188, 9955, 16985, 41605, 80795, 9448, 21789, 14523, 87281, 25503, 9004, 32537, 9416, 11903, 81220, 9487, 12310, 14523, 48549, 9580, 62200, 27355, 66554, 9781, 17196, 27023, 12092, 9059, 80331, 9420, 119446, 10622, 23969, 9781, 17196, 27023, 12030, 11287, 24974, 9903, 11903, 38851, 15001, 9575, 38696, 10530, 9405, 11018, 9997, 40032, 14279, 119067, 10739, 22879, 30085, 23811, 12692, 20173, 9283, 29935, 106249, 11664, 89715, 8870, 8855, 16985, 12424, 9297, 118813, 8916, 40032, 35506, 77884, 24974, 8853, 42144, 28188, 108578, 10739, 9448, 21789, 14523, 87281, 25503, 118671, 8904, 18108, 9953, 17196, 17022, 9074, 9711, 41693, 70146, 9356, 14153, 118800, 77884, 24974, 116, 168, 116, 102]",2
강철원 사육사님 개인 방송 하셨으면 ,"[101, 8853, 47465, 14279, 9405, 83811, 12945, 108578, 8857, 12030, 64002, 9952, 119050, 80046, 102]",2
썸넬 너모 웃겨서 클릭  일해야 되는뎁,"[101, 100, 9004, 39420, 9609, 89045, 12424, 9836, 73352, 9641, 108436, 100, 102]",2
귀여운 레시한테는 미안하지만 레시먹방보다바오가족먹방보니까 속이 다 후련,"[101, 8920, 29935, 21614, 9186, 14040, 11102, 119351, 11018, 9309, 34951, 23665, 19105, 9186, 14040, 118921, 42337, 80001, 42144, 28188, 11287, 52560, 118921, 42337, 30005, 25503, 118671, 9449, 10739, 9056, 10003, 101440, 102]",2
레시야 안녕 잘있었어  우리 예쁜 레시  더운여름 건강하게 보내  사랑한다 레시,"[101, 9186, 14040, 21711, 9521, 118741, 9654, 119192, 119138, 12965, 9604, 12692, 9576, 119023, 9186, 14040, 9074, 21614, 29935, 49543, 8865, 47181, 17594, 9356, 31605, 9405, 62200, 14102, 9186, 14040, 102]",2
뿌집자님 이런식으로 일하면 세계최고밖에 못해♡,"[101, 9399, 38696, 13764, 108578, 80956, 72687, 9641, 38378, 32613, 119273, 11664, 118964, 10530, 9290, 14523, 111752, 102]",2
정말  할부지가 들려주면 다재밌어,"[101, 9670, 89523, 9955, 14646, 80795, 9117, 26737, 16323, 14867, 100, 102]",2
강할부지닷♡♡,"[101, 8853, 14843, 14646, 12508, 118776, 111752, 111752, 102]",2
판다할부지 알럽♡,"[101, 9903, 11903, 14843, 14646, 12508, 9524, 118867, 111752, 102]",2
전옆시,"[101, 9665, 119148, 14040, 102]",2
에버랜드의 슈퍼스타 강바오님♡♡,"[101, 9559, 41605, 42771, 10459, 9472, 68984, 12605, 22695, 8853, 42144, 28188, 108578, 111752, 111752, 102]",2
뽀미  푸린세스 만큼 장꾸인데   귀여운  레시^^,"[101, 100, 9935, 27654, 24982, 12605, 9248, 119328, 9657, 118694, 12030, 28911, 8920, 29935, 21614, 9186, 14040, 167, 167, 102]",2
강바오님 나오면 무조건 눌러보게 됩니다 ,"[101, 8853, 42144, 28188, 108578, 8982, 28188, 14867, 9294, 20626, 71439, 9035, 30873, 30005, 14153, 100, 102]",2
nan,"[101, 10799, 102]",2
전지적옆집시점 ,"[101, 9665, 12508, 14801, 119148, 38696, 14040, 34907, 102]",2
강바오님 처음으로 들어왔어요넘 행복해오,"[101, 8853, 42144, 28188, 108578, 70258, 71568, 119163, 12965, 48549, 118732, 9966, 70915, 14523, 28188, 102]",2
 숨은 레시 찾기 ,"[101, 9464, 10892, 9186, 14040, 9737, 12310, 102]",2
nan,"[101, 10799, 102]",2
강바오 판다사육사하기전에 원숭이 사육사일을하셨다고하네요,"[101, 8853, 42144, 28188, 9903, 11903, 12945, 83811, 12945, 22440, 68767, 9612, 119067, 10739, 9405, 83811, 12945, 18392, 10622, 35506, 119050, 85634, 35506, 77884, 48549, 102]",2
뽀미 이름 기억할께레시야 레몬이는 어디갔어,"[101, 100, 9638, 49543, 8932, 91837, 14843, 118683, 56645, 14040, 21711, 9186, 118936, 31728, 9546, 48446, 118613, 12965, 102]",2
오랑우탄전용놀이동산같아요,"[101, 9580, 62200, 27355, 66554, 16617, 24974, 118744, 10739, 18778, 21386, 118615, 16985, 48549, 102]",2
以為是福寶在盪高高，仔細瞧是猩猩烏蜜啦！福寶應該也來玩一下，爺爺綁牢她就能盪了。爺爺帶福寶家的竹葉…給翠西但只看到尾巴…看不到翠西長啥模樣…猜福寶會大失所望吧…,"[101, 2204, 5287, 4380, 5933, 3440, 3031, 5754, 8595, 8595, 10064, 2194, 6203, 5801, 4380, 5451, 5451, 5294, 7009, 2901, 10055, 5933, 3440, 3956, 7208, 2135, 2278, 5484, 2072, 2079, 10064, 5390, 5390, 6226, 5405, 3239, 3472, 6546, 5754, 2146, 1882, 5390, 5390, 3624, 5933, 3440, 3408, 5718, 6047, 6826, 100, 6217, 6444, 7138, 2243, 2751, 5765, 2555, 3481, 3594, 100, 5765, 2080, 2555, 6444, 7138, 8127, 100, 4723, 4724, 100, 5447, 5933, 3440, 4459, 3197, 3204, 3999, 4468, 2790, 100, 102]",2
뽀밐우리푸만큼장꾸네여,"[101, 100, 102]",2
저 오랑우탄이 나보다 앞구르기를 잘하던데,"[101, 9663, 9580, 62200, 27355, 66554, 10739, 8982, 80001, 9531, 17196, 31401, 29669, 9654, 76424, 28911, 102]",2
뽀미처럼 몸쓰면 디스크나 거북목이 안생기겠죠,"[101, 100, 9288, 119103, 14867, 9122, 12605, 20308, 16439, 8863, 82512, 68055, 10739, 9521, 24017, 12310, 118632, 119217, 102]",2
어 푸바오 할부지 왜 여기 계세요,"[101, 9546, 9935, 42144, 28188, 9955, 14646, 12508, 9596, 9565, 12310, 8887, 24982, 48549, 102]",2
강바오할배가 저기 캡틴인가 여기저기에서 다 보이시던데,"[101, 8853, 42144, 28188, 14843, 76036, 11287, 9663, 12310, 9796, 90833, 12030, 11287, 9565, 12310, 48387, 33797, 12424, 9056, 9356, 10739, 14040, 23990, 28911, 102]",2
아버지의 부름에 대답하는 자식들이 없음 ,"[101, 66324, 10459, 9365, 49543, 10530, 9069, 118775, 12178, 9651, 21155, 20173, 9555, 32158, 102]",2
No English subtitles,"[101, 10657, 11616, 13987, 23516, 11268, 102]",2
